Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Duration
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,3
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,7
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,5
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,5
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,4
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,7
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,5
US-2015-150630,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,4
CA-2016-117590,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2
CA-2016-117590,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,4
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,6
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,5
US-2015-134026,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,6
US-2017-119662,2017-11-13,2017-11-16,First Class,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,3
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,4
US-2015-136476,2015-04-05,2015-04-10,Standard Class,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,5
US-2014-152030,2014-12-26,2014-12-28,Second Class,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,2
US-2014-134614,2014-09-20,2014-09-25,Standard Class,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,5
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,5
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,5
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,4
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552,4
